x_rd,y_rd
82265.25,449872.75
82265.75,449872.75
82266.25,449872.75
82266.75,449872.75
82267.25,449872.75
82267.75,449872.75
82268.25,449872.75
82268.75,449872.75
82269.25,449872.75
82269.75,449872.75
82270.25,449872.75
82270.75,449872.75
82271.25,449872.75
82271.75,449872.75
82272.25,449872.75
82272.75,449872.75
82273.25,449872.75
82273.75,449872.75
82274.25,449872.75
82274.75,449872.75
82275.25,449872.75
82275.75,449872.75
82276.25,449872.75
82276.75,449872.75
82277.25,449872.75
82277.75,449872.75
82278.25,449872.75
82278.75,449872.75
82279.25,449872.75
82279.75,449872.75
82280.25,449872.75
82280.75,449872.75
82281.25,449872.75
82281.75,449872.75
82282.25,449872.75
82282.75,449872.75
82286.25,449872.75
82286.75,449872.75
82287.25,449872.75
82287.75,449872.75
82288.25,449872.75
82288.75,449872.75
82289.25,449872.75
82289.75,449872.75
82290.25,449872.75
82290.75,449872.75
82291.25,449872.75
82291.75,449872.75
82292.25,449872.75
82262.25,449872.25
82262.75,449872.25
82263.25,449872.25
82263.75,449872.25
82264.25,449872.25
82264.75,449872.25
82265.25,449872.25
82265.75,449872.25
82266.25,449872.25
82266.75,449872.25
82267.25,449872.25
82267.75,449872.25
82268.25,449872.25
82268.75,449872.25
82269.25,449872.25
82269.75,449872.25
82270.25,449872.25
82270.75,449872.25
82271.25,449872.25
82271.75,449872.25
82272.25,449872.25
82272.75,449872.25
82273.25,449872.25
82273.75,449872.25
82274.25,449872.25
82274.75,449872.25
82275.25,449872.25
82275.75,449872.25
82276.25,449872.25
82276.75,449872.25
82277.25,449872.25
82277.75,449872.25
82278.25,449872.25
82278.75,449872.25
82279.25,449872.25
82279.75,449872.25
82280.25,449872.25
82280.75,449872.25
82281.25,449872.25
82281.75,449872.25
82282.25,449872.25
82285.25,449872.25
82285.75,449872.25
82286.25,449872.25
82286.75,449872.25
82287.25,449872.25
82287.75,449872.25
82288.25,449872.25
82288.75,449872.25
82289.25,449872.25
82289.75,449872.25
82290.25,449872.25
82290.75,449872.25
82291.25,449872.25
82291.75,449872.25
82292.25,449872.25
82262.25,449871.75
82263.25,449871.75
82263.75,449871.75
82264.25,449871.75
82264.75,449871.75
82265.25,449871.75
82265.75,449871.75
82266.25,449871.75
82266.75,449871.75
82267.25,449871.75
82267.75,449871.75
82268.25,449871.75
82268.75,449871.75
82269.25,449871.75
82269.75,449871.75
82270.25,449871.75
82270.75,449871.75
82271.25,449871.75
82271.75,449871.75
82272.25,449871.75
82272.75,449871.75
82273.25,449871.75
82273.75,449871.75
82274.25,449871.75
82274.75,449871.75
82275.25,449871.75
82275.75,449871.75
82276.25,449871.75
82276.75,449871.75
82277.25,449871.75
82277.75,449871.75
82278.25,449871.75
82278.75,449871.75
82279.25,449871.75
82279.75,449871.75
82280.25,449871.75
82280.75,449871.75
82281.25,449871.75
82281.75,449871.75
82282.25,449871.75
82282.75,449871.75
82284.75,449871.75
82285.25,449871.75
82285.75,449871.75
82286.25,449871.75
82286.75,449871.75
82287.25,449871.75
82287.75,449871.75
82288.25,449871.75
82288.75,449871.75
82289.25,449871.75
82289.75,449871.75
82290.25,449871.75
82290.75,449871.75
82291.25,449871.75
82291.75,449871.75
82292.25,449871.75
82292.75,449871.75
82262.75,449871.25
82263.75,449871.25
82264.25,449871.25
82264.75,449871.25
82265.25,449871.25
82265.75,449871.25
82266.25,449871.25
82266.75,449871.25
82267.25,449871.25
82267.75,449871.25
82268.25,449871.25
82268.75,449871.25
82269.25,449871.25
82269.75,449871.25
82270.25,449871.25
82270.75,449871.25
82271.25,449871.25
82271.75,449871.25
82272.25,449871.25
82272.75,449871.25
82273.25,449871.25
82273.75,449871.25
82274.25,449871.25
82274.75,449871.25
82275.25,449871.25
82275.75,449871.25
82276.25,449871.25
82276.75,449871.25
82277.25,449871.25
82277.75,449871.25
82278.25,449871.25
82278.75,449871.25
82279.25,449871.25
82279.75,449871.25
82280.25,449871.25
82280.75,449871.25
82281.25,449871.25
82281.75,449871.25
82282.25,449871.25
82282.75,449871.25
82283.25,449871.25
82283.75,449871.25
82284.25,449871.25
82284.75,449871.25
82285.25,449871.25
82285.75,449871.25
82286.25,449871.25
82286.75,449871.25
82287.25,449871.25
82287.75,449871.25
82288.25,449871.25
82288.75,449871.25
82289.25,449871.25
82289.75,449871.25
82290.25,449871.25
82290.75,449871.25
82291.25,449871.25
82291.75,449871.25
82292.25,449871.25
82292.75,449871.25
82293.25,449871.25
82263.25,449870.75
82264.25,449870.75
82264.75,449870.75
82265.25,449870.75
82265.75,449870.75
82266.25,449870.75
82266.75,449870.75
82267.25,449870.75
82267.75,449870.75
82268.25,449870.75
82268.75,449870.75
82269.25,449870.75
82269.75,449870.75
82270.25,449870.75
82270.75,449870.75
82271.25,449870.75
82271.75,449870.75
82272.25,449870.75
82272.75,449870.75
82273.25,449870.75
82273.75,449870.75
82274.25,449870.75
82274.75,449870.75
82275.25,449870.75
82275.75,449870.75
82276.25,449870.75
82276.75,449870.75
82277.25,449870.75
82277.75,449870.75
82278.25,449870.75
82278.75,449870.75
82279.25,449870.75
82279.75,449870.75
82280.25,449870.75
82280.75,449870.75
82281.25,449870.75
82281.75,449870.75
82282.25,449870.75
82282.75,449870.75
82283.25,449870.75
82283.75,449870.75
82284.25,449870.75
82284.75,449870.75
82285.25,449870.75
82285.75,449870.75
82286.25,449870.75
82286.75,449870.75
82287.25,449870.75
82287.75,449870.75
82288.25,449870.75
82288.75,449870.75
82289.25,449870.75
82289.75,449870.75
82290.25,449870.75
82290.75,449870.75
82291.25,449870.75
82291.75,449870.75
82292.25,449870.75
82292.75,449870.75
82293.25,449870.75
82263.25,449870.25
82263.75,449870.25
82264.25,449870.25
82264.75,449870.25
82265.25,449870.25
82265.75,449870.25
82266.25,449870.25
82266.75,449870.25
82267.25,449870.25
82267.75,449870.25
82268.25,449870.25
82268.75,449870.25
82269.25,449870.25
82269.75,449870.25
82270.25,449870.25
82270.75,449870.25
82271.25,449870.25
82271.75,449870.25
82272.25,449870.25
82272.75,449870.25
82273.25,449870.25
82273.75,449870.25
82274.25,449870.25
82274.75,449870.25
82275.25,449870.25
82275.75,449870.25
82276.25,449870.25
82276.75,449870.25
82277.25,449870.25
82277.75,449870.25
82278.25,449870.25
82278.75,449870.25
82279.25,449870.25
82279.75,449870.25
82280.25,449870.25
82280.75,449870.25
82281.25,449870.25
82281.75,449870.25
82282.25,449870.25
82282.75,449870.25
82283.25,449870.25
82283.75,449870.25
82284.25,449870.25
82284.75,449870.25
82285.25,449870.25
82285.75,449870.25
82286.25,449870.25
82286.75,449870.25
82287.25,449870.25
82287.75,449870.25
82288.25,449870.25
82288.75,449870.25
82289.25,449870.25
82289.75,449870.25
82290.25,449870.25
82290.75,449870.25
82291.25,449870.25
82291.75,449870.25
82292.25,449870.25
82292.75,449870.25
82293.25,449870.25
82293.75,449870.25
82263.25,449869.75
82263.75,449869.75
82264.25,449869.75
82264.75,449869.75
82265.25,449869.75
82265.75,449869.75
82266.25,449869.75
82266.75,449869.75
82267.25,449869.75
82267.75,449869.75
82268.25,449869.75
82268.75,449869.75
82269.25,449869.75
82269.75,449869.75
82270.25,449869.75
82270.75,449869.75
82271.25,449869.75
82271.75,449869.75
82272.25,449869.75
82272.75,449869.75
82273.25,449869.75
82273.75,449869.75
82274.25,449869.75
82274.75,449869.75
82275.25,449869.75
82275.75,449869.75
82276.25,449869.75
82276.75,449869.75
82277.25,449869.75
82277.75,449869.75
82278.25,449869.75
82278.75,449869.75
82279.25,449869.75
82279.75,449869.75
82280.25,449869.75
82280.75,449869.75
82281.25,449869.75
82281.75,449869.75
82282.25,449869.75
82282.75,449869.75
82283.25,449869.75
82283.75,449869.75
82284.25,449869.75
82284.75,449869.75
82285.25,449869.75
82285.75,449869.75
82286.25,449869.75
82286.75,449869.75
82287.25,449869.75
82287.75,449869.75
82288.25,449869.75
82288.75,449869.75
82289.25,449869.75
82289.75,449869.75
82290.25,449869.75
82290.75,449869.75
82291.25,449869.75
82291.75,449869.75
82292.25,449869.75
82292.75,449869.75
82293.25,449869.75
82293.75,449869.75
82264.25,449869.25
82264.75,449869.25
82265.25,449869.25
82265.75,449869.25
82266.25,449869.25
82266.75,449869.25
82267.25,449869.25
82267.75,449869.25
82268.25,449869.25
82268.75,449869.25
82269.25,449869.25
82269.75,449869.25
82270.25,449869.25
82270.75,449869.25
82271.25,449869.25
82271.75,449869.25
82272.25,449869.25
82272.75,449869.25
82273.25,449869.25
82273.75,449869.25
82274.25,449869.25
82274.75,449869.25
82275.25,449869.25
82275.75,449869.25
82276.25,449869.25
82276.75,449869.25
82277.25,449869.25
82277.75,449869.25
82278.25,449869.25
82278.75,449869.25
82279.25,449869.25
82279.75,449869.25
82280.25,449869.25
82280.75,449869.25
82281.25,449869.25
82281.75,449869.25
82282.25,449869.25
82282.75,449869.25
82283.25,449869.25
82283.75,449869.25
82284.25,449869.25
82284.75,449869.25
82285.25,449869.25
82285.75,449869.25
82286.25,449869.25
82286.75,449869.25
82287.25,449869.25
82287.75,449869.25
82288.25,449869.25
82288.75,449869.25
82289.25,449869.25
82289.75,449869.25
82290.25,449869.25
82290.75,449869.25
82291.25,449869.25
82291.75,449869.25
82292.25,449869.25
82292.75,449869.25
82293.25,449869.25
82293.75,449869.25
82294.25,449869.25
82264.25,449868.75
82264.75,449868.75
82265.25,449868.75
82265.75,449868.75
82266.25,449868.75
82266.75,449868.75
82267.25,449868.75
82267.75,449868.75
82268.25,449868.75
82268.75,449868.75
82269.25,449868.75
82269.75,449868.75
82270.25,449868.75
82270.75,449868.75
82271.25,449868.75
82271.75,449868.75
82272.25,449868.75
82272.75,449868.75
82273.25,449868.75
82273.75,449868.75
82274.25,449868.75
82274.75,449868.75
82275.25,449868.75
82275.75,449868.75
82276.25,449868.75
82276.75,449868.75
82277.25,449868.75
82277.75,449868.75
82278.25,449868.75
82278.75,449868.75
82279.25,449868.75
82279.75,449868.75
82280.25,449868.75
82280.75,449868.75
82281.25,449868.75
82281.75,449868.75
82282.25,449868.75
82282.75,449868.75
82283.25,449868.75
82283.75,449868.75
82284.25,449868.75
82284.75,449868.75
82285.25,449868.75
82285.75,449868.75
82286.25,449868.75
82286.75,449868.75
82287.25,449868.75
82287.75,449868.75
82288.25,449868.75
82288.75,449868.75
82289.25,449868.75
82289.75,449868.75
82290.25,449868.75
82290.75,449868.75
82291.25,449868.75
82291.75,449868.75
82292.25,449868.75
82292.75,449868.75
82293.25,449868.75
82293.75,449868.75
82294.25,449868.75
82264.75,449868.25
82265.25,449868.25
82265.75,449868.25
82266.25,449868.25
82266.75,449868.25
82267.25,449868.25
82267.75,449868.25
82268.25,449868.25
82268.75,449868.25
82269.25,449868.25
82269.75,449868.25
82270.25,449868.25
82270.75,449868.25
82271.25,449868.25
82271.75,449868.25
